,variant_id,beta,effect_allele_frequency
1546,rs1217403,1.1566043,0.75
1547,rs2476601,2.004,0.096
1548,rs7937915,1.6963528,0.75
1556,rs10555080,1.34,0.3
1557,rs6679677,1.82,0.1
1558,rs11171739,1.34,0.42
1559,rs12708716,1.19,0.65
1560,rs11052552,1.49,0.49
1561,rs17388568,1.26,0.26
1562,rs3764021,1.57,0.47
1563,rs17166496,1.3,0.61
1564,rs9272346,5.49,0.61
1565,rs17696736,1.34,0.42
1566,rs6534347,1.3,0.35
1567,rs13266634,1.12,0.65
1568,rs10811661,1.2,0.83
1569,rs5219,1.14,0.47
1570,rs1111875,1.13,0.53
1571,rs1801282,1.14,0.86
1572,rs7754840,1.12,0.31
1573,rs4402960,1.14,0.29
1574,rs7903146,1.37,0.26
1575,rs864745,1.1,0.5
1576,rs12779790,1.11,0.18
1577,rs7961581,1.09,0.27
1578,rs7578597,1.15,0.9
1581,rs9472138,1.06,0.28
1582,rs10923931,1.13,0.11
1583,rs1153188,1.08,0.73
1584,rs17036101,1.15,0.93
1590,rs4607103,1.09,0.76
1591,rs7901695,1.1947431999999998,0.45
1592,rs13424957,1.2422360000000001,0.81
1593,rs3916765,1.21,0.12
1594,rs8090011,1.13,0.38
1595,rs7178572,1.11,0.7
1596,rs3802177,1.23,0.68
1597,rs11708067,1.25,0.78
1598,rs7903146,1.26,0.29
1599,rs9939609,1.25,0.4
1600,rs7766070,1.21,0.27
1601,rs5015480,1.18,0.57
1602,rs4402960,1.15,0.31
1603,rs7903146,1.58,0.29
1604,rs7766070,1.26,0.27
1605,rs7903146,1.44,0.31
1606,rs9552911,1.49,0.93
1607,rs17053082,1.49,0.1
1608,rs6426514,1.51,0.06
1609,rs4527850,1.23,0.75
1610,rs623323,1.28,0.15
1611,rs1470579,1.19,0.41
1612,rs7903146,1.3,0.31
1614,rs1470579,1.14,0.41
1615,rs7903146,1.15,0.3
1616,rs1470579,1.06,0.45
1617,rs328506,1.11,0.8
1620,rs7903146,1.19,0.5
1621,rs1470579,1.08,0.5
1622,rs10911021,1.36,0.679
1623,rs3923113,1.09,0.74
1624,rs16861329,1.09,0.75
1625,rs1802295,1.08,0.26
1626,rs7178572,1.09,0.52
1627,rs2028299,1.1,0.31
1628,rs4812829,1.09,0.29
1629,rs10229583,1.14,0.825
1630,rs6815464,1.13,0.58
1631,rs6467136,1.11,0.79
1632,rs9470794,1.12,0.27
1633,rs1535500,1.08,0.42
1634,rs7041847,1.1,0.41
1635,rs6017317,1.09,0.48
1636,rs831571,1.09,0.61
1637,rs3786897,1.1,0.56
1638,rs16955379,1.08,0.8
1639,rs17797882,1.08,0.32
1640,rs55783344,1.07,0.228
1642,rs34773007,1.28,0.04
1657,rs9309245,1.1,0.168
1658,rs67156297,1.14,0.087
1660,rs67839313,1.09,0.264
1662,rs377457,1.08,0.6970000000000001
1663,rs79976124,1.14,0.063
1664,rs73230612,1.07,0.634
1665,rs2946504,1.06,0.401
1666,rs2688419,1.07,0.652
1668,rs78627331,1.33,0.032
1680,rs1116357,1.09,0.27899999999999997
1681,rs147538848,1.11,0.184
1682,rs1575972,1.19,0.935
1685,rs7107784,1.14,0.09
1687,rs35668226,1.09,0.792
1696,rs679992,1.09,0.5
1697,rs12613372,1.24,0.07
1698,rs2244020,1.11,0.69
1699,rs10231619,1.13,0.74
1700,rs7003257,1.1,0.73
1701,rs17359493,1.13,0.22
1702,rs7903146,1.33,0.3
1703,rs3842770,1.14,0.23
1704,rs11043007,1.19,0.81
1705,rs2283228,1.2,0.89
1706,rs343092,1.16,0.81
1707,rs335810,1.1,0.69
1708,rs2244020,1.09,0.69
1709,rs17359493,1.1,0.22
1710,rs7903146,1.36,0.3
1711,rs2283228,1.19,0.89
1712,rs343092,1.14,0.81
1714,rs231356,1.09,0.27
1725,rs9942471,1.25,0.64
1732,rs11864909,2.34,0.28
1734,rs9942471,1.18,0.64
1744,rs3913535,1.55,0.41100000000000003
1745,rs11018670,1.55,0.42700000000000005
1746,rs79046683,2.34,0.0048
1747,rs113414093,1.12,0.051
1748,rs4976033,1.05,0.4105
1749,rs3934712,1.05,0.2057
1750,rs77136196,1.11,0.042
1751,rs2233632,1.04,0.688
1752,rs2982521,1.05,0.38
1753,rs616279,1.04,0.7379
1754,rs11202627,1.06,0.1518
1755,rs72631105,1.06,0.1899
1756,rs4923543,1.04,0.332
1757,rs7978610,1.27,0.6655
1758,rs825452,1.04,0.6031
1759,rs1641523,1.05,0.4276
1760,rs62059712,1.07,0.9184
1761,rs6011155,1.04,0.6297
1762,rs59944054,1.06,0.2382
1763,rs3768321,1.09,0.2004
1764,rs58432198,1.07,0.8811
1765,rs12140153,1.07,0.9051
1766,rs184660829,8.05,0.0002
1767,rs1127215,1.05,0.5838
1768,rs1493694,1.09,0.1089
1769,rs10305745,1.28,0.0145
1770,rs145904381,1.19,0.9867
1771,rs539515,1.05,0.1981
1772,rs12048743,1.04,0.4417
1773,rs9430095,1.04,0.494
1774,rs79687284,1.16,0.0348
1775,rs340874,1.07,0.5555
1776,rs114526150,1.12,0.0225
1777,rs553014999,1.9,0.0013
1778,rs2820446,1.06,0.7055
1779,rs348330,1.05,0.3605
1780,rs291367,1.04,0.6322
1781,rs62107261,1.12,0.9536
1782,rs35913461,1.06,0.8291
1783,rs11680058,1.06,0.863
1784,rs17802463,1.04,0.7314
1785,rs1260326,1.07,0.6069
1786,rs28525376,1.03,0.4216
1787,rs6708643,1.04,0.5007
1788,rs80147536,1.13,0.9043
1789,rs10193538,1.04,0.6103
1790,rs6545714,1.04,0.392
1791,rs243024,1.06,0.4599
1792,rs2249105,1.1,0.6343
1793,rs2052261,1.07,0.3038
1794,rs2028150,1.05,0.5979
1795,rs562386202,3.2,0.0006
1796,rs11688931,1.04,0.8494
1797,rs11688682,1.05,0.7278
1798,rs66477705,1.09,0.9670000000000001
1799,rs35999103,1.05,0.1547
1800,rs13426680,1.09,0.9373
1801,rs3772071,1.05,0.7135
1802,rs10195252,1.07,0.5864
1803,rs13024606,1.09,0.0472
1804,rs2972144,1.1,0.6385
1805,rs11709077,1.14,0.8765
1806,rs17819328,1.06,0.4249
1807,rs35352848,1.07,0.7878
1808,rs17013314,1.11,0.0313
1809,rs11926707,1.27,0.6262
1810,rs75423501,1.05,0.1007
1811,rs4688760,1.04,0.6842
1812,rs2581787,1.04,0.5634
1813,rs76263492,1.09,0.0452
1814,rs3774723,1.07,0.8442
1815,rs74368513,1.31,0.9956
1816,rs9860730,1.06,0.7036
1817,rs13085136,1.08,0.9283
1818,rs2272163,1.04,0.6184
1819,rs11708067,1.09,0.7723
1820,rs649961,1.04,0.4651
1821,rs9828772,1.06,0.8983
1822,rs559138871,1.49,0.002
1823,rs62271373,1.09,0.0553
1824,rs13065698,1.05,0.6002
1825,rs74653713,1.1,0.9571
1826,rs35497231,1.04,0.3169
1827,rs7629630,1.05,0.8567
1828,rs9873618,1.07,0.71
1829,rs2872246,1.04,0.4538
1830,rs6780171,1.14,0.3138
1831,rs150111048,1.12,0.2388
1832,rs11717959,1.04,0.6208
1833,rs1516728,1.03,0.759
1834,rs3887925,1.07,0.5468
1835,rs7645517,1.08,0.0576
1836,rs4686471,1.06,0.6104
1837,rs111827885,1.18,0.0156
1838,rs1531583,1.13,0.0458
1839,rs35654957,1.03,0.36700000000000005
1840,rs56337234,1.06,0.5026
1841,rs362307,1.08,0.0768
1842,rs1801212,1.05,0.7087
1843,rs10937721,1.06,0.588
1844,rs12640250,1.04,0.7149
1845,rs10938398,1.05,0.4289
1846,rs2102278,1.04,0.3186
1847,rs114447556,1.06,0.0839
1848,rs12642790,1.04,0.3378
1849,rs1903002,1.04,0.5005
1850,rs576406049,1.65,0.0013
1851,rs6821438,1.04,0.5342
1852,rs1580278,1.04,0.4728
1853,rs1296328,1.04,0.4457
1854,rs7669833,1.06,0.7045
1855,rs28819812,1.04,0.6767
1856,rs58730668,1.07,0.858
1857,rs3845281,1.08,0.9039
1858,rs146886108,1.41,0.9938
1859,rs17250977,1.12,0.0376
1860,rs6885132,1.07,0.904
1861,rs76549217,1.14,0.0295
1862,rs62368490,1.1,0.0313
1863,rs6884702,1.04,0.3932
1864,rs17261179,1.04,0.5172
1865,rs3811978,1.06,0.1668
1866,rs62357230,1.09,0.0339
1867,rs62370480,1.04,0.2195
1868,rs702634,1.05,0.69
1869,rs279744,1.04,0.6909
1870,rs465002,1.11,0.7421
1871,rs2431115,1.04,0.4015
1872,rs96844,1.04,0.2622
1873,rs7719891,1.04,0.2585
1874,rs138337556,1.56,0.0036
1875,rs78408340,1.47,0.0083
1876,rs115505614,1.19,0.0499
1877,rs329122,1.04,0.4286
1878,rs112498319,1.03,0.4085
1879,rs9379084,1.11,0.8873
1880,rs9505097,1.05,0.7994
1881,rs7756992,1.15,0.2735
1882,rs601945,1.06,0.1775
1883,rs34298980,1.04,0.4967
1884,rs11967262,1.04,0.4855
1885,rs6458354,1.05,0.289
1886,rs3798519,1.06,0.1844
1887,rs2465043,1.03,0.6441
1888,rs555402748,3.67,0.0004
1889,rs4946812,1.04,0.6743
1890,rs11759026,1.07,0.2321
1891,rs2800733,1.05,0.7165
1892,rs9494624,1.04,0.2899
1893,rs474513,1.04,0.5169
1894,rs4709746,1.06,0.8676
1895,rs17168486,1.07,0.1808
1896,rs10228066,1.07,0.5373
1897,rs2908334,1.03,0.6308
1898,rs78840640,1.11,0.022000000000000002
1899,rs4279506,1.06,0.6102
1900,rs1708302,1.1,0.5124
1901,rs917195,1.05,0.77
1902,rs878521,1.06,0.2451
1903,rs116913033,1.04,0.83
1904,rs56376556,1.08,0.0533
1905,rs11496066,1.08,0.8181
1906,rs62482405,1.05,0.0819
1907,rs39328,1.04,0.4334
1908,rs6976111,1.04,0.3127
1909,rs2268382,1.03,0.3271
1910,rs1562396,1.06,0.3186
1911,rs62492368,1.05,0.3081
1912,rs6459733,1.06,0.6729
1913,rs17689007,1.04,0.5329
1914,rs57327348,1.04,0.782
1915,rs10096633,1.07,0.8766
1916,rs10954772,1.04,0.3135
1917,rs9687832,1.08,0.1975
1918,rs2307111,1.05,0.6053
1919,rs4457053,1.06,0.3036
1920,rs1316776,1.05,0.6476
1921,rs1575972,1.1,0.9671
1922,rs1412234,1.04,0.3229
1923,rs12001437,1.04,0.3722
1924,rs11137820,1.04,0.5751
1925,rs17791513,1.1,0.9317
1926,rs2796441,1.07,0.5924
1927,rs55653563,1.04,0.7321
1928,rs12236906,1.15,0.9872
1929,rs505922,1.05,0.3317
1930,rs78403475,1.06,0.8956
1931,rs28505901,1.09,0.752
1932,rs11793035,1.04,0.3311
1933,9:139737088:G:A,2.74,0.0007
1934,rs11257655,1.09,0.2184
1935,rs177045,1.07,0.3155
1936,rs61850200,1.04,0.2768
1937,rs41277236,1.09,0.0431
1938,rs549498088,1.56,0.006
1939,rs2642588,1.05,0.7016
1940,rs703972,1.07,0.5329999999999999
1941,rs1317617,1.04,0.7976
1942,rs7078559,1.03,0.5783
1943,rs10882101,1.06,0.5872
1944,rs1112718,1.06,0.5984
1945,rs536643418,1.5,0.0052
1946,rs140242150,1.36,0.005
1947,rs7918400,1.06,0.4761
1948,rs184509201,1.21,0.9818
1949,rs180988137,1.17,0.0104
1950,rs7903146,1.37,0.295
1951,rs78025551,1.05,0.851
1952,rs34855922,1.05,0.7162
1953,rs2280141,1.05,0.5161
1954,rs12802972,1.03,0.4281
1955,rs11042596,1.04,0.6649
1956,rs555759341,1.38,0.0049
1957,rs571342427,1.68,0.0015
1958,rs4929965,1.07,0.3829
1959,rs4930091,1.04,0.7594
1960,rs2283164,1.08,0.9468
1961,rs80102379,1.15,0.9822
1962,rs231349,1.07,0.1024
1963,rs231361,1.08,0.2564
1964,rs2283220,1.05,0.6896
1965,rs234853,1.08,0.2482
1966,rs2237895,1.12,0.426
1967,rs2237897,1.23,0.9543
1968,rs445084,1.03,0.3613
1969,rs141521721,1.13,0.0236
1970,rs5213,1.07,0.3624
1971,rs67254669,1.89,0.0011
1972,rs7943101,1.04,0.1614
1973,rs145678014,1.11,0.9567
1974,rs528122639,2.09,0.0009
1975,rs286925,1.04,0.1815
1976,rs2767036,1.04,0.2908
1977,rs1061810,1.05,0.28800000000000003
1978,rs7115753,1.04,0.4494
1979,rs7124681,1.04,0.4097
1980,rs1783541,1.06,0.2035
1981,rs61881115,1.05,0.838
1982,rs11820019,1.16,0.9733
1983,rs77464186,1.11,0.8363
1984,rs10830963,1.1,0.2765
1985,rs57235767,1.04,0.7057
1986,rs10893829,1.06,0.8533
1987,rs10750397,1.05,0.2817
1988,rs67232546,1.06,0.207
1989,rs112595469,1.1,0.0284
1990,rs10848958,1.04,0.8039
1991,rs11063028,1.06,0.18
1992,rs4238013,1.06,0.2087
1993,rs3217792,1.12,0.9131
1994,rs76895963,1.62,0.9802
1995,rs3217860,1.05,0.258
1996,rs13262861,1.07,0.8292
1997,rs4736819,1.04,0.5537
1998,rs148766658,1.09,0.0378
1999,rs11786992,1.03,0.644
2000,rs10097617,1.04,0.4847
2001,rs187936726,1.11,0.0239
2002,rs149364428,1.27,0.0104
2003,rs12680028,1.04,0.5342
2004,rs3802177,1.11,0.6851
2005,rs80244329,1.11,0.9781
2006,rs17772814,1.08,0.9151
2007,rs1561927,1.04,0.2686
2008,rs4977213,1.05,0.3749
2009,rs12719778,1.04,0.5376
2010,rs510807,1.03,0.4906
2011,rs79103584,1.14,0.9862
2012,rs10974438,1.05,0.3567
2013,rs7022807,1.04,0.4014
2014,rs7867635,1.04,0.4123
2015,rs7847880,1.04,0.8431
2016,rs1412830,1.04,0.6278
2017,rs76011118,1.11,0.0341
2018,rs10811660,1.27,0.8282
2019,rs10757283,1.11,0.4298
2020,rs1333052,1.03,0.6599
2021,rs4932265,1.07,0.2672
2022,rs12910825,1.05,0.3612
2023,rs6600191,1.06,0.8246
2024,rs3751837,1.04,0.22
2025,rs8046545,1.04,0.3589
2026,rs11642430,1.04,0.39899999999999997
2027,rs199795270,1.25,0.0065
2028,rs4281707,1.04,0.5442
2029,rs78020297,1.09,0.0517
2030,rs1421085,1.13,0.415
2031,rs862320,1.04,0.5783
2032,rs72802342,1.17,0.9231
2033,rs3115960,1.03,0.37
2034,rs2925979,1.05,0.2996
2035,rs12920022,1.05,0.1575
2036,rs1043246,1.05,0.1568
2037,rs3826482,1.03,0.5756
2038,rs1377807,1.05,0.3118
2039,rs7222481,1.04,0.3238
2040,rs4925109,1.05,0.3164
2041,rs71372253,1.08,0.0642
2042,rs10962,1.05,0.2257
2043,rs2189301,1.05,0.8716
2044,rs10908278,1.08,0.4808
2045,rs34855406,1.05,0.2772
2046,rs35895680,1.06,0.6779999999999999
2047,rs569511541,7.63,0.0002
2048,rs2727301,1.04,0.7538
2049,rs60276348,1.05,0.1397
2050,rs11657492,1.06,0.1002
2051,rs558308082,2.04,0.0008
2052,rs61676547,1.06,0.1924
2053,rs7240767,1.04,0.3762
2054,rs62080313,1.06,0.1233
2055,rs76197067,2.68,0.0005
2056,rs72926932,1.09,0.0839
2057,rs28719468,1.04,0.1586
2058,rs17684074,1.04,0.7403
2059,rs9957145,1.05,0.8290000000000001
2060,rs523288,1.05,0.2377
2061,rs74452128,1.15,0.9763
2062,rs10469140,1.03,0.4849
2063,rs12454712,1.05,0.6142
2064,rs7249758,1.05,0.2039
2065,rs116953931,1.08,0.0371
2066,rs75253922,1.05,0.1909
2067,rs4804833,1.05,0.3902
2068,rs755734872,2.37,0.0005
2069,rs3111316,1.05,0.5885
2070,rs8107974,1.1,0.0769
2071,rs2066827,1.05,0.235
2072,rs718314,1.05,0.2532
2073,rs10842994,1.08,0.8054
2074,rs2258238,1.1,0.1042
2075,rs1042725,1.05,0.4902
2076,rs1796330,1.05,0.5711
2077,rs2197973,1.04,0.5375
2078,rs759111467,3.07,0.0003
2079,rs557027608,2.34,0.0006
2080,rs77864822,1.08,0.9324
2081,rs1426371,1.05,0.7389
2082,rs34965774,1.06,0.1438
2083,rs12578639,1.04,0.8278
2084,rs11065299,1.06,0.0754
2085,rs73226260,1.13,0.9669
2086,rs1800574,1.14,0.0296
2087,rs56348580,1.05,0.6889
2088,rs28638142,1.08,0.0442
2089,rs73224262,1.24,0.0068
2090,rs4148856,1.05,0.7814
2091,rs12811407,1.05,0.3305
2092,rs34584161,1.05,0.7598
2093,rs11842871,1.04,0.7345
2094,rs576674,1.05,0.1694
2095,rs963740,1.04,0.7128
2096,rs9537803,1.04,0.2771
2097,rs9569864,1.05,0.8247
2098,rs9563615,1.05,0.7101
2099,rs76251711,1.16,0.0126
2100,rs1359790,1.09,0.7201
2101,rs7987740,1.04,0.6094
2102,rs4771648,1.04,0.6685
2103,rs17122772,1.04,0.228
2104,rs17522122,1.04,0.4742
2105,rs8017808,1.04,0.7431
2106,rs17836088,1.06,0.2171
2107,rs8010382,1.04,0.4214
2108,rs62007683,1.04,0.6532
2109,rs8032939,1.06,0.24600000000000002
2110,rs34715063,1.1,0.1235
2111,rs11070332,1.05,0.3578
2112,rs543786825,3.15,0.0004
2113,rs2456530,1.06,0.1272
2114,rs528350911,1.27,0.0068
2115,rs117483894,1.1,0.0369
2116,rs8037894,1.05,0.5663
2117,rs7178762,1.04,0.4595
2118,rs4776970,1.04,0.6406
2119,rs13737,1.05,0.7586
2120,rs1005752,1.08,0.7154
2121,rs188247550,1.15,0.0195
2122,rs10406327,1.04,0.5226
2123,rs745903616,1.61,0.0013
2124,rs429358,1.08,0.8458
2125,rs10406431,1.05,0.5625
2126,rs2238689,1.04,0.4177
2127,rs533172266,2.33,0.0006
2128,rs3810291,1.05,0.6729999999999999
2129,rs13041756,1.06,0.1072
2130,rs2268078,1.04,0.6572
2131,rs76811102,1.09,0.0424
2132,rs4810426,1.09,0.1064
2133,rs191830490,1.24,0.9941
2134,rs1800961,1.18,0.0353
2135,rs6063048,1.05,0.7246
2136,rs11699802,1.04,0.5359
2137,rs34454109,1.04,0.7709
2138,rs6070625,1.05,0.5174
2139,rs862016,1.07,0.0783
2140,rs6518681,1.09,0.9136
2141,rs117001013,1.07,0.9117
2142,rs5758223,1.04,0.7167
2143,rs738408,1.05,0.2261
2144,rs1801645,1.04,0.275
2145,rs112915006,1.08,0.0512
2146,rs149483638,1.28,0.86
2174,rs2421016,0.0564,0.4652
2175,rs231362,0.0679,0.498
2176,rs2237892,0.1389,0.0626
2177,rs163184,0.079,0.493
2178,rs5215,0.0754,0.6471
2179,rs1552224,0.1011,0.1501
2180,rs10830963,0.094,0.2883
2181,rs11063069,0.0736,0.2018
2182,rs2129869,0.077,0.2217
2183,rs10842994,0.0809,0.2078
2184,rs1531343,0.1121,0.1272
2185,rs7957197,0.0766,0.1988
2186,rs4275659,0.0576,0.6899
2187,rs10507349,0.0561,0.2247
2188,rs576674,0.0734,0.8370000000000001
2189,rs1359790,0.0766,0.2674
2190,rs7985179,0.08900000000000001,0.2783
2191,rs7178572,0.0618,0.6928
2192,rs8042680,0.0627,0.331
2193,rs9940149,0.0622,0.17300000000000001
2194,rs8050136,0.107,0.4135
2195,rs7202877,0.1064,0.1034
2196,rs2925979,0.0554,0.7117
2197,rs12970134,0.0714,0.2674
2198,rs11873305,0.1442,0.0308
2200,rs6813195,0.0639,0.2913
2201,rs702634,0.0498,0.6938
2202,rs459193,0.078,0.7087
2203,rs4457053,0.0796,0.67
2204,rs329122,0.0454,0.4274
2205,rs9505118,0.0626,0.4165
2206,rs7754840,0.1226,0.3181
2207,rs3130501,0.0693,0.7833
2208,rs2050188,0.0509,0.6729999999999999
2209,rs4897182,0.0513,0.4553
2210,rs17168486,0.0928,0.166
2211,rs2191349,0.0497,0.505
2212,rs864745,0.0851,0.5199
2213,rs4607517,0.0648,0.1759
2214,rs9648716,0.0759,0.1531
2215,rs516946,0.0778,0.7694
2216,rs13266634,0.1113,0.2833
2217,rs944801,0.0707,0.5795
2218,rs10811661,0.1563,0.168
2219,rs13292136,0.1294,0.0646
2220,rs2796441,0.064,0.4155
2221,rs11257655,0.0773,0.2266
2222,rs12571751,0.0664,0.4503
2223,rs1111875,0.1066,0.4245
2224,rs7903146,0.3286,0.3171
2225,rs6813195,0.061,0.2913
2226,rs702634,0.05,0.6938
2227,rs459193,0.075,0.7087
2228,rs4457053,0.066,0.67
2229,rs329122,1.04,0.43
2230,rs9505118,0.044000000000000004,0.4165
2231,rs7754840,0.127,0.3181
2232,rs3130501,0.063,0.7833
2233,rs2050188,1.06,0.67
2234,rs1535500,0.053,0.493
2235,rs4897182,0.047,0.4553
2236,rs622217,1.05,0.52
2237,rs17168486,0.065,0.166
2238,rs2191349,0.048,0.505
2239,rs864745,0.07,0.5199
2240,rs9648716,1.06,0.15
2241,rs12681990,1.05,0.15
2242,rs516946,0.086,0.7694
2243,rs896854,0.038,0.5398
2244,rs13266634,0.109,0.2833
2245,rs7041847,0.043,0.4672
2246,rs10811661,0.174,0.168
2247,rs13292136,0.094,0.0646
2248,rs2796441,0.057,0.4155
2249,rs11787792,0.10800000000000001,0.6729999999999999
2250,rs9940149,1.05,0.83
2251,rs8050136,0.106,0.4135
2252,rs7202877,0.055,0.1034
2253,rs2925979,1.05,0.29
2254,rs4430796,0.083,0.5249
2255,rs12970134,0.062,0.2674
2256,rs11873305,0.129,0.0308
2257,rs12454712,0.048,0.3857
2258,rs3794991,0.077,0.0775
2259,rs3786897,0.037000000000000005,0.4026
2260,rs4420638,0.077,0.1978
2261,rs11671664,0.076,0.1074
2262,rs4812829,0.057,0.16
2263,rs7674212,1.07,0.58
2264,rs2296172,0.0581,0.1948
2265,rs17106184,0.0897,0.0964
2266,rs10923931,0.0769,0.1093
2267,rs340874,0.0597,0.5308
2268,rs780094,0.0552,0.5895
2269,rs7578597,0.1377,0.0905
2270,rs243021,0.0768,0.4473
2271,rs11123406,0.0494,0.6382
2272,rs3923113,0.0686,0.4085
2273,rs7607980,0.0927,0.1541
2274,rs7578326,0.0796,0.3539
2275,rs11257655,0.092,0.2266
2276,rs12571751,0.067,0.4503
2277,rs1111875,0.102,0.4245
2278,rs7903146,0.301,0.3171
2279,rs2421016,1.05,0.53
2280,rs7111341,0.067,0.2614
2281,rs231362,0.064,0.498
2282,rs2237892,0.215,0.0626
2283,rs5215,0.068,0.6471
2284,rs1552224,0.09699999999999999,0.1501
2285,rs10830963,0.075,0.2883
2286,rs11063069,0.064,0.2018
2287,rs10842994,0.069,0.2078
2288,rs1531343,0.069,0.1272
2289,rs7961581,0.048,0.7018
2290,rs7957197,0.075,0.1988
2291,rs4275659,0.043,0.6899
2292,rs10507349,1.05,0.78
2293,rs576674,1.07,0.16
2294,rs1359790,0.071,0.2674
2295,rs7985179,1.07,0.72
2296,rs7172432,0.057,0.4115
2297,rs7178572,0.065,0.4836
2298,rs2028299,0.062,0.7326
2299,rs8042680,0.057,0.331
2300,rs3794991,0.1299,0.0775
2301,rs4420638,0.1028,0.1978
2302,rs1470579,0.1264,0.4571
2303,rs13266634,0.0955,0.2546
2304,rs10811661,0.1831,0.1319
2305,rs7903146,0.1981,0.2986
2306,rs7178572,0.0783,0.4836
2307,rs2296172,0.05,0.1948
2308,rs17106184,0.08,0.0964
2309,rs340874,0.049,0.5308
2310,rs2867125,1.06,0.83
2311,rs780094,0.064,0.5895
2312,rs7578597,0.099,0.0905
2313,rs243021,0.051,0.4473
2314,rs11123406,1.04,0.36
2315,rs3923113,0.071,0.4085
2316,rs2943640,0.078,0.6362
2317,rs1801282,0.113,0.1203
2318,rs7612463,0.098,0.1322
2319,rs11708067,0.095,0.171
2320,rs1470579,0.13,0.3042
2321,rs6808574,0.046,0.6054
2322,rs6815464,0.083,0.0258
2323,rs4689388,0.075,0.6193
2324,rs2706785,1.13,0.05
2325,rs2943640,0.0822,0.6362
2326,rs1801282,0.1134,0.1203
2327,rs4607103,0.0648,0.2326
2328,rs11708067,0.1044,0.171
2329,rs1470579,0.1031,0.3042
2330,rs4689388,0.0835,0.6193
2331,rs2706785,0.1282,0.0487
2362,rs2237896,1.3623978,0.26
2363,rs3802177,1.1600928,0.31
2364,chr7:69534694,1.1389521,0.23
2365,rs4684848,1.1325028,0.2
2366,rs376993806,1.1299435,0.26
2367,rs6103716,1.1210761999999999,0.39
2368,rs1359790,1.1160713,0.31
2369,rs10734252,1.1111111999999999,0.38
2370,rs1573219,1.1074197000000001,0.3
2371,rs896911,1.1013216000000001,0.38
2372,rs7903146,1.34,0.25
2373,rs11257600,1.16,0.31
2374,rs9460550,1.15,0.32
2375,rs4414887,1.13,0.32
2376,rs72501962,1.15,0.28
2377,rs2153827,1.11,0.34
2378,rs17737404,1.22,0.23
2379,rs2236033,1.11,0.3
2380,rs703978,1.11,0.31
2381,rs1635852,1.12,0.34
2382,rs2943657,1.12,0.26
2383,chr4:6301628,1.14,0.21
2384,chr2:42506923,1.43,0.44
2385,rs12692738,1.12,0.23
2386,rs76895963,2.84,0.023
2387,rs60780116,1.09,0.84
2388,rs6918311,1.06,0.53
2389,rs1182436,1.08,0.8
2390,rs635634,1.08,0.18
2391,rs2292626,1.07,0.5
2392,rs1061810,1.07,0.28
2393,rs111669836,1.06,0.25
2394,rs10146997,1.07,0.21
2395,rs2925979,1.07,0.3
2396,rs7224685,1.07,0.3
2397,rs78761021,1.06,0.34
2398,rs79349575,1.06,0.51
2399,rs10498828,1.0526316,0.82
2400,rs989128,1.0526316,0.726
2401,rs8192675,1.0526316,0.7233
2402,rs797973,1.05,0.2882
2403,rs4846569,1.0638298000000002,0.7057
2404,rs11656775,1.05,0.3223
2405,rs1904096,1.0526316,0.484
2406,rs137848,1.0526316,0.5163
2407,rs1019029,1.05,0.479
2408,rs367943,1.05,0.66
2409,rs6438234,1.0526316,0.237
2410,rs4975241,1.14,0.0607
2411,rs917195,1.0752687,0.7651
2412,rs10841855,1.0752687,0.7504
2413,rs2548724,1.07,0.2554
2414,rs62530366,1.05,0.38
2415,rs816750,1.06,0.5046
2416,rs4809627,1.05,0.5223
2417,rs1625526,1.06,0.7496
2418,rs17815608,1.08,0.8276
2419,rs182719694,1.08,0.8546
2420,rs6691335,1.0989010000000001,0.0984
2421,rs13268287,1.13,0.929
2422,rs1169288,1.04,0.32299999999999995
2423,rs1060105,1.04,0.815
2424,rs781831,1.04,0.42200000000000004
2425,rs665268,1.04,0.294
2426,rs2032844,1.04,0.754
2427,rs9891146,1.04,0.332
2428,rs58542926,1.07,0.0755
2429,rs17265513,1.04,0.174
2430,rs1800961,1.09,0.0316
2431,rs41278853,1.09,0.9259999999999999
2432,rs738409,1.04,0.239
2433,rs4077129,1.04,0.276
2434,rs16826069,1.06,0.221
2435,rs140386498,1.22,0.986
2436,rs1260326,1.06,0.617
2437,rs35720761,1.08,0.889
2438,rs7572857,1.05,0.833
2439,rs7607980,1.09,0.8809999999999999
2440,rs1801282,1.08,0.871
2441,rs1801212,1.07,0.71
2442,rs146886108,1.29,0.995
2443,rs2307111,1.06,0.597
2444,rs35658696,1.13,0.051
2445,rs9379084,1.1,0.887
2446,rs2073721,1.04,0.742
2447,rs1800574,1.11,0.028999999999999998
2448,rs35742417,1.04,0.836
2449,rs2296172,1.06,0.193
2450,rs140386498,1.21,0.988
2451,rs1260326,1.06,0.63
2452,rs35720761,1.08,0.895
2453,rs7572857,1.05,0.846
2454,rs7607980,1.08,0.879
2455,rs1801282,1.09,0.887
2456,rs6762208,1.03,0.36700000000000005
2457,rs1801212,1.07,0.748
2458,rs146886108,1.29,0.996
2459,rs2307111,1.05,0.562
2460,rs35658696,1.13,0.045
2461,rs9379084,1.08,0.884
2462,rs2073721,1.04,0.7490000000000001
2463,rs2233580,1.36,0.0294
2464,rs328,1.05,0.903
2465,rs13266634,1.09,0.691
2466,rs60980157,1.06,0.7709999999999999
2467,rs5219,1.06,0.364
